,3a62531.cel,3a636a1.cel,3a6a4b1.cel,3a6b021.cel
200774_at,1995.25533430975,432.764910290139,125.016353111445,64.4571890818654
200775_s_at,4447.62635686957,478.856166362905,562.684721386064,156.593774764039
200776_s_at,482.54033301762,41.4920033469606,70.3930925970298,40.8209859686188
200777_s_at,664.449084109303,150.070758169751,152.808449633236,43.1792198376663
200778_s_at,837.63885229322,199.58628996589,204.767255657495,60.7551781000772
200779_at,2687.13521546032,1058.79721914119,930.710379894404,486.167918310112
200780_x_at,6185.73159141817,2973.46707369789,3536.83643215533,2476.78907918036
200781_s_at,9494.00783817662,3017.93982948128,1711.44971875254,389.901636694013
200782_at,682.39714505311,490.402151349062,275.918570963341,122.436525958033
200783_s_at,466.4378652631,62.6872379331796,663.177135321492,114.015153457597
200784_s_at,267.044804921097,162.493990337079,287.270870563826,300.211814866013
200785_s_at,122.80772692559,155.962151598267,117.740540849998,78.0041449626011
200786_at,1092.20312217677,229.253055185234,348.570326225397,209.886108385887
200787_s_at,232.891662960341,159.525846145512,397.012585173508,262.107406010883
200788_s_at,568.374094881176,240.965379663056,1367.77118280907,467.87672543658
200789_at,683.321035925843,661.512356942503,147.021672957767,53.7222098965393
200790_at,3101.90377232032,1021.06088060228,302.994756729825,99.4654448802696
200791_s_at,575.70522125803,106.036101555281,79.12533533236,77.7567486266468
200792_at,2541.3949506507,925.710199205009,367.208547524376,191.974302001971
200793_s_at,1404.10308857362,379.723697411116,267.425943483315,288.011415284404
200794_x_at,967.009922218821,420.21161594567,217.484933800964,179.75801176863
200795_at,42.101205427649,583.518473631268,899.006665875626,1550.67944245558
200796_s_at,55.9038582722102,32.9122645028314,23.5544490920662,20.690771780454
200797_s_at,967.621195318978,408.432057705428,423.418724717148,198.553115088338
200798_x_at,134.950565208929,43.1758237049258,34.2015380176863,27.488624603981
200799_at,181.337235388881,3227.61512316079,1037.14709054337,211.508931150525
200800_s_at,238.734252271211,1575.893796459,375.072758944918,159.864383761126
200801_x_at,18003.8354874284,6037.73519628107,3872.14708890842,3163.97497074468
200802_at,791.003595988008,389.554069276841,347.655988836357,227.443394419353
200803_s_at,1442.27607114327,298.442613984477,191.226463514463,160.072188205044
200804_at,1370.80333296327,485.452562923254,447.101627443963,436.413853770655
200805_at,407.113163348947,318.142604841904,101.73155361812,50.9233252765395
200806_s_at,4021.18556805091,147.971656531277,274.052619036766,83.5152600589123
200807_s_at,8098.54441199501,454.326209692297,547.634911326515,184.517570408322
200808_s_at,225.966410752955,312.048901221228,202.604174944347,127.19434871367
200809_x_at,8217.35636649159,6028.66370470391,2504.29906825473,665.759477914135
200810_s_at,1088.81589698393,1189.56399271244,452.111117305468,188.663109941799
200811_at,832.151125396941,951.467351837641,347.358939978192,174.635898670225
200812_at,1918.83905051246,666.44792256417,324.923571033629,163.97569136914
200813_s_at,171.41297500022,65.9912775317093,438.810522057497,177.359011775871
200814_at,2932.74181024796,628.012926632892,247.095100988362,144.838027948729
200815_s_at,400.535516549319,70.3725785022274,127.799730384226,75.2580306757841
200816_s_at,244.93777171653,125.035571001651,513.315950146314,192.941633572355
200817_x_at,12081.3364950001,7171.80402157008,1981.45079862905,976.657599388169
200818_at,2721.39575737357,307.01610979161,479.089540857431,316.271491740415
200819_s_at,9519.20275594837,9828.51754762011,2603.60781277237,1439.40269391105
200820_at,974.511646871028,560.480285438732,217.302098250563,79.3548815952474
200821_at,42.0096782033839,21.9285451655376,21.824984957871,21.2286575355129
200822_x_at,5102.85581814713,1008.41971420758,704.074266672017,556.895372870618
200823_x_at,5341.38103655177,4547.86991774266,1352.45116921036,167.623588749905
200824_at,2507.56667797175,443.499731910354,256.179433056494,119.529555907425
200825_s_at,1361.0019908447,398.130835659326,158.423380110402,151.854172404852
200826_at,2798.13263239635,1005.72701542273,434.514830483105,211.343044768923
200827_at,197.874875233265,244.499074012232,120.600139158002,70.2285202656148
200828_s_at,1306.53857963346,421.779780978036,379.210089422824,141.865504953793
200829_x_at,861.960541159374,305.090298997228,206.222884099694,127.556894723047
200830_at,1195.62744939503,461.883306081103,329.169743444206,186.442732093416
