strain,time,rep,nt,ht,nt-dil,ht-dil
Spo_0A,3240,C,61,0,5,2
Spo_0A,3240,D,75,0,5,2
Spo_0A,3288,A,36,0,5,2
Spo_0A,3288,B,63,0,5,2
Spo_0A,3288,C,45,0,5,2
Spo_0A,3288,D,68,0,5,2
Spo_0A,3336,A,51,0,5,2
Spo_0A,3336,B,57,0,5,2
Spo_0A,3336,C,48,0,5,2
Spo_0A,3336,D,55,0,5,2
Spo_0A,3384,A,33,0,5,2
Spo_0A,3384,B,31,0,5,2
Spo_0A,3384,C,33,0,5,2
Spo_0A,3384,D,38,0,5,2
Spo_0A,3432,A,44,0,5,2
Spo_0A,3432,B,41,0,5,2
Spo_0A,3432,C,44,0,5,2
Spo_0A,3432,D,38,0,5,2
Spo_0A,3480,A,47,0,5,2
Spo_0A,3480,B,47,0,5,2
Spo_0A,3480,C,28,0,5,2
Spo_0A,3480,D,32,0,5,2
Spo_0A,3528,A,54,0,5,2
Spo_0A,3528,B,38,0,5,2
Spo_0A,3528,C,60,0,5,2
Spo_0A,3528,D,49,0,5,2
Spo_0A,3576,A,83,0,5,2
Spo_0A,3576,B,86,0,5,2
Spo_0A,3576,C,94,0,5,2
Spo_0A,3576,D,89,0,5,2
Spo_0A,3624,A,58,0,5,2
Spo_0A,3624,B,59,0,5,2
Spo_0A,3624,C,82,0,5,2
Spo_0A,3624,D,60,0,5,2
Spo_0A,3672,A,69,0,5,2
Spo_0A,3672,B,54,0,5,2
Spo_0A,3672,C,70,0,5,2
Spo_0A,3672,D,51,0,5,2
Spo_0A,3720,A,49,0,5,2
Spo_0A,3720,B,40,0,5,2
Spo_0A,3720,C,64,0,5,2
Spo_0A,3720,D,52,0,5,2
Spo_0A,3768,A,42,0,5,2
Spo_0A,3768,B,37,0,5,2
Spo_0A,3768,C,45,0,5,2
Spo_0A,3768,D,49,0,5,2
Spo_0A,3816,A,38,0,5,2
Spo_0A,3816,B,37,0,5,2
Spo_0A,3816,C,32,0,5,2
Spo_0A,3816,D,32,0,5,2
Spo_0A,3864,A,22,0,5,2
Spo_0A,3864,B,28,0,5,2
Spo_0A,3864,C,23,0,5,2
Spo_0A,3864,D,22,0,5,2
Spo_0A,3912,A,16,0,5,2
Spo_0A,3912,B,18,0,5,2
Spo_0A,3912,C,11,0,5,2
Spo_0A,3912,D,10,0,5,2
Spo_0A,3960,A,47,0,4,2
Spo_0A,3960,B,43,0,4,2
Spo_0A,3960,C,44,0,4,2
Spo_0A,3960,D,45,0,4,2
Spo_0A,4008,A,32,0,4,2
Spo_0A,4008,B,28,0,4,2
Spo_0A,4008,C,25,0,4,2
Spo_0A,4008,D,25,0,4,2
Spo_0A,4056,A,8,0,4,2
Spo_0A,4056,B,2,0,4,2
Spo_0A,4056,C,5,0,4,2
Spo_0A,4056,D,1,0,4,2
Spo_0A,4104,A,2,0,4,2
Spo_0A,4104,B,1,0,4,2
Spo_0A,4104,C,1,0,4,2
Spo_0A,4104,D,2,0,4,2
Spo_0A,4152,A,257,0,4,2
Spo_0A,4152,B,222,0,4,2
Spo_0A,4152,C,233,0,4,2
Spo_0A,4152,D,262,0,4,2
Spo_0A,4200,A,298,0,4,2
Spo_0A,4200,B,292,0,4,2
